auction_id,asset_address_content_1,asset_address_content_2,asset_auction_date,asset_auction_type,asset_beds,asset_baths,asset_sqft,label_after_repair_value,label_after_repair_value_value,label_reserve,label_reserve_value,label_starting_bid,label_starting_bid_value,asset_save_label,asset_No Buyer's Premium_label,asset_image,asset_Newly Listed_label,asset_Broker Commission Available_label
2832559,445 OAK GROVE AVE,"MENLO PARK, CA 94025, San Mateo County","Sep 18, 1:00pm","Foreclosure Sale, In Person",2,2,"1,215",Est. Resale Value:,"$1,342,000",Est. Credit Bid:,–,Opening Bid:,"$310,000",Save,No Buyer's Premium,,,
2735027,2121 JEFFERSON AVE,"REDWOOD CITY, CA 94061, San Mateo County","Oct 02, 1:00pm","Foreclosure Sale, In Person",3,2,"1,180",Est. Resale Value:,"$1,521,000",Est. Credit Bid:,–,Opening Bid:,"$45,000",Save,No Buyer's Premium,HOT,,
2798716,1424 HOPKINS AVE,"REDWOOD CITY, CA 94062, San Mateo County","Sep 18, 12:30pm","Foreclosure Sale, In Person",–,–,–,Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
2821757,1034 HALL STREET,"SAN CARLOS, CA 94070, San Mateo County","Oct 16, 1:00pm","Foreclosure Sale, In Person",2,1,910,Est. Resale Value:,"$1,578,000",Est. Credit Bid:,–,Opening Bid:,"$285,000",Save,No Buyer's Premium,,,
2718296,421 PORTOFINO DRIVE,"SAN CARLOS, CA 94070, San Mateo County","Nov 13, 1:00pm","Foreclosure Sale, In Person",8,8,"5,037",Est. Resale Value:,"$3,051,000",Est. Credit Bid:,–,Opening Bid:,"$1,200,000",Save,No Buyer's Premium,,,
2708299,5435 JONATHAN DR,"NEWARK, CA 94560, Alameda County","Oct 24, 9:00am","Foreclosure Sale, In Person",3,2,"1,314",Est. Resale Value:,"$946,000",Est. Credit Bid:,–,Opening Bid:,"$500,000",Save,No Buyer's Premium,,,
1399178,5181 FAIRBANKS CMN,"FREMONT, CA 94555, Alameda County","Nov 07, 9:00am","Foreclosure Sale, In Person",2,2,950,Est. Resale Value:,"$853,000",Est. Credit Bid:,–,Opening Bid:,"$325,000",Save,No Buyer's Premium,HOT,,
2772853,32913 MONROVIA STREET,"UNION CITY, CA 94587, Alameda County","Oct 10, 9:00am","Foreclosure Sale, In Person",3,2.5,"2,007",Est. Resale Value:,"$1,214,000",Est. Credit Bid:,–,Opening Bid:,"$710,000",Save,No Buyer's Premium,,,
2828998,4158 AQUARIUS CIR,"UNION CITY, CA 94587, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",4,1.5,"1,342",Est. Resale Value:,"$686,000",Est. Credit Bid:,–,Opening Bid:,"$195,000",Save,No Buyer's Premium,,,
2654221,1133 PRESCOTT AVENUE,"SUNNYVALE, CA 94089, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",3,2,"1,108",Est. Resale Value:,"$1,232,000",Est. Credit Bid:,–,Opening Bid:,"$700,000",Save,No Buyer's Premium,HOT,,
2657304,2977 MIRALOMA WAY,"UNION CITY, CA 94587, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",4,3,"2,357",Est. Resale Value:,"$1,224,000",Est. Credit Bid:,–,Opening Bid:,"$770,000",Save,No Buyer's Premium,,,
1339048,39773 COSTA WAY,"FREMONT, CA 94538, Alameda County","Oct 10, 9:00am","Foreclosure Sale, In Person",4,2,"1,734",Est. Resale Value:,"$1,040,000",Est. Credit Bid:,–,Opening Bid:,"$265,000",Save,No Buyer's Premium,,,
1985147,710 MARINERS ISLAND BLVD #108,"SAN MATEO, CA 94404, San Mateo County","Sep 18, 1:00pm","Foreclosure Sale, In Person",–,1,519,Est. Resale Value:,"$706,000",Est. Credit Bid:,–,Opening Bid:,"$210,000",Save,No Buyer's Premium,HOT,,
1398414,40835 LINCOLN STREET,"FREMONT, CA 94538, Alameda County","Oct 24, 9:00am","Foreclosure Sale, In Person",12,6,"4,548",Est. Resale Value:,"$2,257,000",Est. Credit Bid:,–,Opening Bid:,"$1,400,000",Save,No Buyer's Premium,HOT,,
1425748,1303 COBB STREET,"SAN MATEO, CA 94401, San Mateo County","Nov 13, 1:00pm","Foreclosure Sale, In Person",3,1,"1,000",Est. Resale Value:,"$1,155,000",Est. Credit Bid:,–,Opening Bid:,"$690,000",Save,No Buyer's Premium,HOT,,
2769889,2552 AMETHYST DR,"SANTA CLARA, CA 95051, Santa Clara County","Oct 02, 9:00am","Foreclosure Sale, In Person",4,2,"1,715",Est. Resale Value:,"$1,605,000",Est. Credit Bid:,–,Opening Bid:,"$230,000",Save,No Buyer's Premium,HOT,,
2712584,27360 MARIGOLD COURT,"HAYWARD, CA 94545, Alameda County","Nov 21, 9:00am","Foreclosure Sale, In Person",3,1,"1,440",Est. Resale Value:,"$595,000",Est. Credit Bid:,–,Opening Bid:,"$360,000",Save,No Buyer's Premium,,,
2824490,1257 GEORGE CIRCLE,"HAYWARD, CA 94541, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",3,3,"1,982",Est. Resale Value:,"$901,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
2765372,1489 VIA MESA,"SAN LORENZO, CA 94580, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",3,1,"1,451",Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$460,000",Save,No Buyer's Premium,,,
2687112,19764 WAVERLY AVE,"HAYWARD, CA 94541, Alameda County","Oct 10, 9:00am","Foreclosure Sale, In Person",3,1,"1,182",Est. Resale Value:,"$687,000",Est. Credit Bid:,–,Opening Bid:,"$150,000",Save,No Buyer's Premium,HOT,,
2571789,3795 ARBUTUS COURT,"HAYWARD, CA 94542, Alameda County","Nov 21, 9:00am","Foreclosure Sale, In Person",5,6.5,"9,511",Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$1,100,000",Save,No Buyer's Premium,,,
2787080,4006 TEALE AVENUE,"SAN JOSE, CA 95117, Santa Clara County","Dec 11, 9:00am","Foreclosure Sale, In Person",4,2,"1,769",Est. Resale Value:,"$1,505,000",Est. Credit Bid:,–,Opening Bid:,"$320,000",Save,No Buyer's Premium,HOT,,
2827312,1366 TROJAN AVENUE,"SAN LEANDRO, CA 94579, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",3,1,"1,241",Est. Resale Value:,"$777,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
2799446,22558 6TH ST,"HAYWARD, CA 94541, Alameda County","Sep 25, Time TBD","Foreclosure Sale, In Person",3,1.5,"1,849",Est. Resale Value:,"$800,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
2814507,520 UNIVERSITY AVE,"SAN JOSE, CA 95110, Santa Clara County","Oct 07, Time TBD","Foreclosure Sale, In Person",2,1,744,Est. Resale Value:,"$979,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
2835667,24780 FAIRVIEW AVE,"HAYWARD, CA 94542, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",2,1,808,Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$260,000",Save,No Buyer's Premium,,,
2770278,13338 FONTAINE DRIVE,"SARATOGA, CA 95070, Santa Clara County","Oct 16, 9:00am","Foreclosure Sale, In Person",3,1,"1,246",Est. Resale Value:,"$2,384,000",Est. Credit Bid:,–,Opening Bid:,"$500,000",Saved,No Buyer's Premium,HOT,,
2807549,4205 STAR RIDGE RD,"HAYWARD, CA 94542, Alameda County","Oct 11, 12:00pm","Foreclosure Sale, In Person",4,3,"2,218",Est. Resale Value:,"$1,256,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
2786493,433 ARLETA AVE,"SAN JOSE, CA 95128, Santa Clara County","Oct 02, 9:00am","Foreclosure Sale, In Person",3,2,"1,436",Est. Resale Value:,"$1,133,000",Est. Credit Bid:,–,Opening Bid:,"$85,000",Save,No Buyer's Premium,,,
2756210,2081 MCKENZIE PLACE,"SAN JOSE, CA 95131, Santa Clara County","Oct 16, 9:00am","Foreclosure Sale, In Person",3,2.5,"1,929",Est. Resale Value:,"$1,398,000",Est. Credit Bid:,–,Opening Bid:,"$840,000",Save,No Buyer's Premium,HOT,,
2805953,2312 BELVEDERE AVE,"SAN LEANDRO, CA 94577, Alameda County","Oct 01, Time TBD","Foreclosure Sale, In Person",3,1.5,"1,364",Est. Resale Value:,"$555,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
2813021,1679 VALLEY CREST COURT,"SAN JOSE, CA 95131, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",4,2.5,"1,802",Est. Resale Value:,"$1,432,000",Est. Credit Bid:,–,Opening Bid:,"$720,000",Save,No Buyer's Premium,HOT,,
1409629,2644 TROUSDALE DRIVE,"BURLINGAME, CA 94010, San Mateo County","Oct 16, 1:00pm","Foreclosure Sale, In Person",3,2,"1,690",Est. Resale Value:,"$2,477,000",Est. Credit Bid:,–,Opening Bid:,"$1,250,000",Save,No Buyer's Premium,HOT,,
2837128,22523 NORTHVIEW DRIVE,"HAYWARD, CA 94541, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",3,2,"1,284",Est. Resale Value:,"$788,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,Newly Listed,
2818548,3166 ISADORA DRIVE,"SAN JOSE, CA 95132, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",4,2,"1,778",Est. Resale Value:,"$1,262,000",Est. Credit Bid:,–,Opening Bid:,"$650,000",Save,No Buyer's Premium,HOT,,
2652757,16365 SARATOGA AVE #203E AKA16365 SARATOGA ST 203E,"SAN LEANDRO, CA 94578, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",2,1.5,"1,022",Est. Resale Value:,"$487,000",Est. Credit Bid:,–,Opening Bid:,"$275,000",Save,No Buyer's Premium,HOT,,
2786799,1719 OLD PIEDMONT ROAD,"SAN JOSE, CA 95132, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",3,2,"1,577",Est. Resale Value:,"$1,311,000",Est. Credit Bid:,–,Opening Bid:,"$620,000",Save,No Buyer's Premium,HOT,,
2783330,19928 CENTER ST,"CASTRO VALLEY, CA 94546, Alameda County","Oct 10, 9:00am","Foreclosure Sale, In Person",4,2,"2,352",Est. Resale Value:,"$1,100,000",Est. Credit Bid:,–,Opening Bid:,"$630,000",Save,No Buyer's Premium,HOT,,
2493405,1387 AND 1389 145TH AVENUE,"SAN LEANDRO, CA 94578, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",4,4,"2,176",Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$90,000",Save,No Buyer's Premium,,,
1418101,1028 WILSHAM DRIVE,"SAN JOSE, CA 95132, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",4,2,"1,580",Est. Resale Value:,"$1,387,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,HOT,,
1408271,445 MIRADA RD,"HALF MOON BAY, CA 94019, San Mateo County","Oct 02, 1:00pm","Foreclosure Sale, In Person",4,4,"2,450",Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$1,950,000",Save,No Buyer's Premium,,,
2829022,1966 MERIDIAN AVENUE,"SAN JOSE, CA 95125, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",3,2,"1,953",Est. Resale Value:,"$1,556,000",Est. Credit Bid:,–,Opening Bid:,"$780,000",Save,No Buyer's Premium,HOT,,
2823038,1573 HILL AVE,"SAN JOSE, CA 95125, Santa Clara County","Oct 30, 9:00am","Foreclosure Sale, In Person",2,1,"1,300",Est. Resale Value:,"$1,349,000",Est. Credit Bid:,–,Opening Bid:,"$245,000",Save,No Buyer's Premium,HOT,,
2756211,1232 SHERMAN ST,"SAN JOSE, CA 95110, Santa Clara County","Oct 30, 9:00am","Foreclosure Sale, In Person",2,1,"1,188",Est. Resale Value:,"$895,000",Est. Credit Bid:,–,Opening Bid:,"$355,000",Save,No Buyer's Premium,,,
2805990,2410 MADDEN TER,"SAN JOSE, CA 95116, Santa Clara County","Sep 11, Time TBD","Foreclosure Sale, In Person",2,2,"1,118",Est. Resale Value:,"$719,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
2805899,7872 PINEVILLE CIR,"CASTRO VALLEY, CA 94552, Alameda County","Sep 05, 12:00pm","Foreclosure Sale, In Person",4,2.5,"2,340",Est. Resale Value:,"$1,096,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,HOT,,
2778042,9915 BERNHARDT DRIVE,"OAKLAND, CA 94603, Alameda County","Oct 10, 9:00am","Foreclosure Sale, In Person",3,2.5,"1,880",Est. Resale Value:,"$719,000",Est. Credit Bid:,–,Opening Bid:,"$395,000",Save,No Buyer's Premium,,,
2499464,8202 REGENCY DR,"PLEASANTON, CA 94588, Alameda County","Dec 19, 9:00am","Foreclosure Sale, In Person",4,3.5,"4,073",Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$660,000",Save,No Buyer's Premium,,,
2670200,2380 109TH AVENUE,"OAKLAND, CA 94603, Alameda County","Oct 10, 9:00am","Foreclosure Sale, In Person",2,1,"1,008",Est. Resale Value:,"$619,000",Est. Credit Bid:,–,Opening Bid:,"$95,000",Save,No Buyer's Premium,,,
2785252,2229 108TH AVENUE,"OAKLAND, CA 94603, Alameda County","Nov 21, 9:00am","Foreclosure Sale, In Person",3,2,"1,222",Est. Resale Value:,"$719,000",Est. Credit Bid:,–,Opening Bid:,"$365,000",Save,No Buyer's Premium,HOT,,
2675939,10449 LONGFELLOW AVENUE,"OAKLAND, CA 94603, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",2,1,914,Est. Resale Value:,"$567,000",Est. Credit Bid:,–,Opening Bid:,"$120,000",Save,No Buyer's Premium,HOT,,
2837068,10314 SUNNYSIDE STREET,"OAKLAND, CA 94603, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",2,1,839,Est. Resale Value:,"$481,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
2834874,9613 ARMSTRONG DR,"OAKLAND, CA 94603, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",3,2.5,"1,414",Est. Resale Value:,"$660,000",Est. Credit Bid:,–,Opening Bid:,"$460,000",Save,No Buyer's Premium,,Newly Listed,
2805833,2650 THRASHER LN,"SAN JOSE, CA 95125, Santa Clara County","Sep 11, Time TBD","Foreclosure Sale, In Person",3,2,"1,523",Est. Resale Value:,"$1,526,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
1400466,5719 DIMAS COURT,"PLEASANTON, CA 94566, Alameda County",Sep 9 - 11,"Bank Owned, Online",4,5.5,"4,959",Est. Resale Value:,"$3,240,000",Reserve:,–,Opening Bid:,"$1,027,500",Saved,,,,Broker Commission Available
2791151,1574 WILLOWMONT AVE,"SAN JOSE, CA 95118, Santa Clara County","Sep 13, 10:00am","Foreclosure Sale, In Person",3,1.5,"1,600",Est. Resale Value:,"$1,520,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
1434307,831 BREVINS LOOP,"SAN JOSE, CA 95125, Santa Clara County","Dec 11, 9:00am","Foreclosure Sale, In Person",5,2.5,"2,654",Est. Resale Value:,"$1,614,000",Est. Credit Bid:,–,Opening Bid:,"$900,000",Save,No Buyer's Premium,,,
2608580,124 RANDOLPH AVE,"SOUTH SAN FRANCISCO, CA 94080, San Mateo County","Oct 16, 1:00pm","Foreclosure Sale, In Person",2,1,880,Est. Resale Value:,"$840,000",Est. Credit Bid:,–,Opening Bid:,"$80,000",Save,No Buyer's Premium,,,
2761969,51 ELYSIAN FIELDS DR,"OAKLAND, CA 94605, Alameda County","Oct 02, 12:00pm","Foreclosure Sale, In Person",3,2,"1,867",Est. Resale Value:,"$1,029,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,HOT,,
2822988,487 ALHAMBRA ROAD,"SOUTH SAN FRANCISCO, CA 94080, San Mateo County","Oct 30, 1:00pm","Foreclosure Sale, In Person",3,1,"1,160",Est. Resale Value:,"$1,281,000",Est. Credit Bid:,–,Opening Bid:,"$570,000",Save,No Buyer's Premium,HOT,,
2830622,126 TRENTON CIR,"PLEASANTON, CA 94566, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",4,2.5,"1,620",Est. Resale Value:,"$1,157,000",Est. Credit Bid:,–,Opening Bid:,"$430,000",Save,No Buyer's Premium,,,
2785402,1016 SUMMERFIELD DR,"SAN JOSE, CA 95121, Santa Clara County","Nov 13, 9:00am","Foreclosure Sale, In Person",4,2,"1,481",Est. Resale Value:,"$874,000",Est. Credit Bid:,–,Opening Bid:,"$200,000",Save,No Buyer's Premium,,,
2502895,2798 PLUMAS DRIVE,"SAN JOSE, CA 95121, Santa Clara County","Nov 13, 9:00am","Foreclosure Sale, In Person",4,2,"1,618",Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$560,000",Save,No Buyer's Premium,HOT,,
2820523,2637 74TH AVENUE,"Oakland, CA 94605, Alameda County",Sep 3 - 5,"Bank Owned, Online",2,1,748,Est. Resale Value:,"$578,000",Reserve:,–,Opening Bid:,"$150,000",Saved,No Buyer's Premium,,,
2822014,1230 50TH AVENUE,"OAKLAND, CA 94601, Alameda County","Oct 24, 9:00am","Foreclosure Sale, In Person",2,1,595,Est. Resale Value:,"$428,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
2814522,5910 BRUCE DR,"PLEASANTON, CA 94588, Contra Costa County","Oct 30, Time TBD","Foreclosure Sale, In Person",4,4,"4,468",Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
2837869,6702 SOUTH MARIPOSA LANE,"DUBLIN, CA 94568, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",3,2.5,"1,727",Est. Resale Value:,"$905,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,Newly Listed,
2652376,2778 SCOTTSDALE DRIVE,"SAN JOSE, CA 95148, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",3,2,"1,320",Est. Resale Value:,"$836,000",Est. Credit Bid:,–,Opening Bid:,"$610,000",Save,No Buyer's Premium,,,
2824104,6625 HILLMONT DR,"OAKLAND, CA 94605, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",1,1.5,957,Est. Resale Value:,"$710,000",Est. Credit Bid:,–,Opening Bid:,"$200,000",Save,No Buyer's Premium,HOT,,
1399225,818 SYLVANDALE AVE,"SAN JOSE, CA 95111, Santa Clara County","Nov 13, 9:00am","Foreclosure Sale, In Person",4,2,"1,220",Est. Resale Value:,"$648,000",Est. Credit Bid:,–,Opening Bid:,"$570,000",Save,No Buyer's Premium,,,
2765410,659 CLARIDGE DRIVE,"PACIFICA, CA 94044, San Mateo County","Oct 02, 1:00pm","Foreclosure Sale, In Person",3,2,"1,450",Est. Resale Value:,"$1,189,000",Est. Credit Bid:,–,Opening Bid:,"$360,000",Save,No Buyer's Premium,HOT,,
2689164,132 ALBATROSS COURT #15,"SAN FRANCISCO, CA 94124, San Francisco County","Sep 11, 9:00am","Foreclosure Sale, In Person",3,3,"1,360",Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$32,500",Save,No Buyer's Premium,HOT,,
2731715,3305 HUDSON CRT,"PLEASANTON, CA 94588, Alameda County","Oct 21, 10:00am","Foreclosure Sale, In Person",4,–,"2,023",Est. Resale Value:,"$1,322,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,HOT,,
2758491,4484 TULIP AVENUE,"OAKLAND, CA 94619, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",2,2,"1,764",Est. Resale Value:,"$1,013,000",Est. Credit Bid:,–,Opening Bid:,"$600,000",Save,No Buyer's Premium,,,
2836959,3652 SLOPEVIEW DR,"SAN JOSE, CA 95148, Santa Clara County","Sep 18, Time TBD","Foreclosure Sale, In Person",4,2.5,"2,124",Est. Resale Value:,"$1,505,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
1362593,3786 DUNMORE LANE,"DUBLIN, CA 94568, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",3,2.5,"2,112",Est. Resale Value:,"$877,000",Est. Credit Bid:,–,Opening Bid:,"$600,000",Save,No Buyer's Premium,,,
1278425,140 CARMEL AVENUE,"PACIFICA, CA 94044, San Mateo County","Sep 18, 1:00pm","Foreclosure Sale, In Person",2,1,"1,080",Est. Resale Value:,"$1,145,000",Est. Credit Bid:,–,Opening Bid:,"$295,000",Save,No Buyer's Premium,HOT,,
1392803,3336 MONTEVIDEO DRIVE,"SAN RAMON, CA 94583, Contra Costa County",Sep 9 - 11,"Bank Owned, Online",3,2,"1,500",Est. Resale Value:,"$834,000",Reserve:,–,Opening Bid:,"$420,000",Saved,,,,Broker Commission Available
1439334,29 KINGWOOD ROAD,"OAKLAND, CA 94619, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",4,2.5,"2,009",Est. Resale Value:,"$1,302,000",Est. Credit Bid:,–,Opening Bid:,"$710,000",Save,No Buyer's Premium,HOT,,
2805944,204 COMPTON CIR APT C,"SAN RAMON, CA 94583, Contra Costa County","Sep 11, 1:30pm","Foreclosure Sale, In Person",2,2,995,Est. Resale Value:,"$604,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,HOT,,
2831187,1782 REVERE AVENUE,"SAN FRANCISCO, CA 94124, San Francisco County","Sep 11, 9:00am","Foreclosure Sale, In Person",2,1,"1,075",Est. Resale Value:,"$1,194,000",Est. Credit Bid:,–,Opening Bid:,"$215,000",Save,No Buyer's Premium,HOT,,
2809502,5554 SPINNAKER DRIVE #4,"SAN JOSE, CA 95123, Santa Clara County","Nov 13, 9:00am","Foreclosure Sale, In Person",2,1,798,Est. Resale Value:,"$516,000",Est. Credit Bid:,–,Opening Bid:,"$2,500",Save,No Buyer's Premium,HOT,,
2556353,121 PARADISE DRIVE,"PACIFICA, CA 94044, San Mateo County","Sep 18, 1:00pm","Foreclosure Sale, In Person",3,1,"1,110",Est. Resale Value:,"$1,146,000",Est. Credit Bid:,–,Opening Bid:,"$13,605.32",Save,No Buyer's Premium,HOT,,
2677113,73 TERESA STREET,"DALY CITY, CA 94014, San Mateo County","Oct 02, 1:00pm","Foreclosure Sale, In Person",3,1.5,"1,350",Est. Resale Value:,"$927,000",Est. Credit Bid:,–,Opening Bid:,"$145,000",Save,No Buyer's Premium,,,
2702801,5893 EMBEE DRIVE,"SAN JOSE, CA 95123, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",4,2,"2,008",Est. Resale Value:,"$1,116,000",Est. Credit Bid:,–,Opening Bid:,"$400,000",Save,No Buyer's Premium,,,
2705831,40 ACTON ST,"DALY CITY, CA 94014, San Mateo County","Sep 18, 1:00pm","Foreclosure Sale, In Person",2,1,"1,040",Est. Resale Value:,"$996,000",Est. Credit Bid:,–,Opening Bid:,"$570,000",Save,No Buyer's Premium,HOT,,
2824500,89 MUIRWOOD DR,"DALY CITY, CA 94014, San Mateo County","Oct 30, 1:00pm","Foreclosure Sale, In Person",3,2,"1,340",Est. Resale Value:,"$1,032,000",Est. Credit Bid:,–,Opening Bid:,"$580,000",Save,No Buyer's Premium,HOT,,
2734901,30 ROCKRIDGE AVENUE,"DALY CITY, CA 94015, San Mateo County","Oct 02, 1:00pm","Foreclosure Sale, In Person",3,2,"1,160",Est. Resale Value:,"$1,031,000",Est. Credit Bid:,–,Opening Bid:,"$165,000",Save,No Buyer's Premium,,,
2790787,2362 KEATS LANE,"SAN RAMON, CA 94582, Contra Costa County","Sep 24, 9:00am","Foreclosure Sale, In Person",5,4.5,"4,060",Est. Resale Value:,"$1,516,000",Est. Credit Bid:,–,Opening Bid:,"$1,100,000",Save,No Buyer's Premium,,,
2828921,199 VISTA GRANDE AVENUE,"DALY CITY, CA 94014, San Mateo County","Oct 16, 1:00pm","Foreclosure Sale, In Person",2,2,"1,130",Est. Resale Value:,"$1,019,000",Est. Credit Bid:,–,Opening Bid:,"$295,000",Save,No Buyer's Premium,,,
2763774,2111 WATERMILL RD.,"SAN RAMON, CA 94582, Contra Costa County","Sep 24, 9:00am","Foreclosure Sale, In Person",3,2.5,"1,979",Est. Resale Value:,"$976,000",Est. Credit Bid:,–,Opening Bid:,"$590,000",Save,No Buyer's Premium,,,
2806635,5315 SILVER GARDEN WAY,"SAN JOSE, CA 95138, Santa Clara County","Oct 16, 9:00am","Foreclosure Sale, In Person",2,2,"1,793",Est. Resale Value:,"$1,224,000",Est. Credit Bid:,–,Opening Bid:,"$135,000",Save,No Buyer's Premium,HOT,,
2791103,277 SADOWA ST,"SAN FRANCISCO, CA 94112, San Francisco County","Oct 10, 2:00pm","Foreclosure Sale, In Person",–,1,"1,151",Est. Resale Value:,"$1,019,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
2826094,17550 OLD SUMMIT RD,"LOS GATOS, CA 95033, Santa Cruz County","Oct 10, Time TBD","Foreclosure Sale, In Person",8,7,"4,558",Est. Resale Value:,"$2,304,000",Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
2815316,330 PARKVIEW TERRACE #201,"OAKLAND, CA 94610, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",2,2,"1,330",Est. Resale Value:,"$800,000",Est. Credit Bid:,–,Opening Bid:,"$50,000",Save,No Buyer's Premium,HOT,,
2812840,466 CRESCENT STREET UNIT # 326,"OAKLAND, CA 94610, Alameda County","Oct 10, 9:00am","Foreclosure Sale, In Person",2,2,"1,116",Est. Resale Value:,"$792,000",Est. Credit Bid:,–,Opening Bid:,"$650,000",Save,No Buyer's Premium,,,
